,高考人数,,大学数量,
省/市,2017年,2016年,211&985大学数量,公办本科大学数量
河南,86.3万,82万,1,37
广东,75.7万,73.3万,4,41
山东,58.3万,60.2万,3,44
四川,58.3万,57.13万,5,34
安徽,49.9万,50.99万,3,30
河北,43.6万,42.31万,0,36
贵州,41.2万,37.38万,1,19
湖南,41.1万,40.16万,3,31
广西,36.5万,33万,1,24
江西,36.5万,36.06万,1,23
湖北,36.2万,36.14万,1,36
江苏,33万,36.04万,11,45
陕西,31.9万,32.8万,1,34
山西,31.7万,33.9万,1,22
云南,29.3万,28万,1,22
浙江,29.1万,30.74万,1,32
甘肃,28.5万,29.6万,1,17
重庆,21.1万,24.88万,2,17
辽宁,20.8万,21.82万,4,4
内蒙古,19.8万,20.11万,1,14
福建,18.8万,17.5万,2,22
黑龙江,18.8万,19.7万,4,26
新疆,18.4万,16.61万,2,13
吉林,14.3万,14.85万,3,25
宁夏,6.9万,6.9万,1,4
北京,6万,6.12万,26,60
海南,5.7万,6.04万,1,5
天津,5.7万,6万,4,18
上海,5万,5.1万,9,31
青海,4.6万,4.5万,1,3
西藏,2.8万,2.4万,1,3
